SMILES,FingerPrint_0,FingerPrint_1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,37.9026,-52.758858
NCCc1nc2cc(C(N)=O)ccc2n1CCN,88.51804,-32.216244
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,-2.1215866,-75.063
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,51.96954,-52.58068
COc1ccc(-c2cccn3nc(N)nc23)cn1,14.353525,-87.69844
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,88.97551,-33.02869
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,12.7255745,-98.08958
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,37.80994,-53.845543
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,16.735647,-86.191345
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,37.93394,-53.328682
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,88.46781,-32.28208
O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,24.16891,18.598509
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,-7.1548505,-56.73209
N#Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,89.11524,-33.20041
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,89.0432,-33.131065
Cc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12,19.241365,-89.041664
NCCn1c(-c2ccc(O)cc2O)nc2cc(C(N)=O)ccc21,88.75804,-33.156944
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,24.368607,-88.60762
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,15.842894,-52.586563
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,15.83994,-52.575233
c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,3.2813618,57.736313
Cc1ccccc1Oc1cnc2[nH]cc(C(=O)NC(C)C)c2n1,63.576714,76.66406
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1OC,37.6727,-52.963257
NCCCn1c(CCN)nc2cc(C(N)=O)ccc21,88.49328,-32.108444
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,55.533947,21.756847
CC(C)(C)OC(=O)N1CCc2ccc(Nc3nc4c(-c5cccc6c5OC(F)(F)O6)cccn4n3)cc2CC1,14.390806,-100.38011
COc1ccccc1-c1cccn2nc(N)nc12,14.340905,-87.86151
CS(=O)(=O)c1cccc(-c2cccn3nc(N)nc23)c1,14.912614,-87.2046
Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,15.837802,-52.573364
Cc1cccc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,27.23479,-74.452866
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(C)(CC#N)C2)C1,69.59795,-70.19134
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4cccnc4)nc23)cc1,16.692396,-86.170395
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,55.5929,26.869549
O=c1[nH]c2cnc(-n3cnc4cc(C(F)(F)F)ccc43)nc2n1C1CCOCC1,66.69596,-3.072339
CC(C)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,12.781689,-98.25921
O=C(Nc1nc2cccc(-c3ccc(N4CCOCC4)cc3)n2n1)C1CC1,22.65794,-74.32319
CN(c1ccnc2[nH]ccc12)C1CCCCC1,9.663823,53.54655
NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-n2nccn2)c1,56.86803,26.995462
O=C1CCC=CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)N1,92.43685,24.892633
Cc1ccccc1-n1cc(-c2ccn(C)n2)c2n[nH]c(N)c2c1=O,42.696224,35.947437
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C)c4n3)cc21,64.83113,76.39249
Cc1ccc(-n2cc(-c3cccn4nc(Nc5ccc(C6CCN(C(=O)OC(C)(C)C)CC6)cc5)nc34)cn2)cc1,20.612698,-99.25997
CN1CCN(c2cccc(Nc3nc4c(Oc5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,24.369785,-89.04075
Cn1cc(C2=C(Nc3cccc(OCCNc4ccnc(F)c4)c3)C(=O)NC2=O)c2ccccc21,55.71803,21.869583
NCCCc1nc2cc(C(N)=O)ccc2n1CCN,88.507866,-32.190853
NCCn1c(-c2cncnc2)nc2cc(C(N)=O)ccc21,89.0175,-33.108627
N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5c(Cl)cccc5Cl)c4n3)c2c1,64.7121,-2.6858532
CCn1c(-c2ccnc(N)n2)cc(C(N)=O)c1-c1cc(Cl)ccc1C,54.516125,-53.153378
CN1CCN(c2ccc(NC(=O)Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1,24.077562,-78.144424
Cn1cc2c(Nc3nc(NC4CCOCC4N)cc4cc[nH]c(=O)c34)cccc2n1,54.640133,27.05266
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,54.69938,21.208717
COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cn1,19.883593,-99.82593
O=C(CCCCCCCC(=O)N1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO,93.92215,25.330488
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1,37.49733,-52.892223
CN1CCN(c2cccc(Nc3nc4c(NCc5ccc(F)cc5)cccn4n3)c2)CC1,25.980743,-91.73458
CC1CCN(Cc2cccc(F)c2F)CC1N(C)c1[nH]cnc2nccc1-2,67.920166,-64.66982
Nc1[nH]nc2ccn(-c3ccccc3Cl)c(=O)c12,42.803,35.277008
Cc1ccnc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,27.300636,-74.39804
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(CC#N)C2)C1,69.70726,-70.14872
COc1cc(C(F)F)ccc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,19.552824,-99.84147
Nc1nc2c(-c3ccncc3)cccn2n1,14.485033,-87.54659
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C(=O)N5CC(C#N)C5)c4n3)cc21,65.2601,76.438354
COc1cccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)c1,26.242838,-92.4186
CN1CCN(c2ccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)cc2)CC1,24.285261,-88.57164
CN1CCN(c2cccc(Nc3nc4c(Nc5cccc(S(C)(=O)=O)c5)cccn4n3)c2)CC1,24.855978,-88.99375
NCCn1c(-c2ccc(O)cc2)nc2cc(C(N)=O)ccc21,88.99529,-33.1337
O=c1[nH]c2cnc3[nH]ccc3c2n1C1CCNCC1,60.070114,52.644894
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCCNc2ccnc(F)c2)cc1,55.54705,21.772259
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)CC2)c1,54.71578,21.219564
CC(C)NC(=O)c1c[nH]c2ncc(Oc3cccc(C#N)c3)nc12,63.650223,76.54138
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,54.69938,21.208717
CNC(=O)c1cc(-c2ccc(OC)cc2)nc2c1[nH]c1cc(OC)ccc12,5.534021,-20.983452
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccncn2)cc1C(N)=O,56.070057,-54.127026
NC1CCCCC1Nc1cc2cc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,55.396076,26.633732
CCc1cccc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,63.62466,76.56022
COc1ccccc1Nc1nc2cccc(-c3cccc(S(C)(=O)=O)c3)n2n1,25.896404,-75.83444
CN1CCC(c2cccc(Nc3nc4c(-c5ccccc5N(C)S(C)(=O)=O)cccn4n3)c2)CC1,25.00568,-85.8753
CC(C)Oc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,14.498173,-102.16026
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,15.973887,-78.59516
N#CC1CC(N(CC2CC2)C2COC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,98.45076,-1.6991336
CC1(C)C(=O)N(C2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,18.179096,3.7685075
CC(C)(C)NC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,-25.512423,-8.98993
CN(C)C(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,-25.53756,-8.894007
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CC3CC(C2)O3)C1,70.76932,-70.48104
CCn1cc(Nc2nc3c(Oc4ccc(S(C)(=O)=O)cc4)cccn3n2)cn1,17.862865,-87.93516
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(C(=O)OC(C)(C)C)C4)nc12,15.28795,-100.260056
Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CC(CN2CCC2)C1,17.254665,-7.6419897
OCc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,62.191402,3.7127745
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,62.17469,3.679036
CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)C(C#N)C1,93.22952,4.1747484
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)NCC2CC2)C1,70.11142,-69.42538
c1ccc(Nc2nc3ccccn3n2)cc1,18.109514,4.393595
CCOc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCN(C(=O)OC(C)(C)C)CC4)nc12,14.762926,-100.40641
CC(C)(C)OC(=O)N1CCC(c2ccc(Nc3nc4c(-c5cnn(-c6ccc(F)cc6)c5)cccn4n3)cc2)CC1,20.566818,-99.32359
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2Cc3cn(C)nc3C2)C1,70.92473,-70.62569
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,13.185812,-98.7174
Cc1ccc(Cl)cc1-c1nc(-c2ccnc(N)n2)c[nH]1,55.757824,-52.129204
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,-4.711358,-79.96478
O=C(CCCCCN1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO,93.922066,25.329773
COc1cccc(CNc2cccn3nc(Nc4ccc(C)nc4)nc23)c1,26.713537,-94.26462
CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4cccc(NC(=O)c5ccc(N(C)C)cc5)c4F)c23)CC1,43.2321,-66.59441
N#CC1CC(NC(C2CC2)C(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,100.660416,-0.14294675
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1Cc1cccc(F)c1F,64.78364,-2.6369247
COc1cc(OC)cc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,63.686672,76.62525
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C)c4n3)cc21,64.83113,76.39249
COc1cccc(CNc2cccn3nc(Nc4ccncc4)nc23)c1,26.73639,-94.178955
N#Cc1cc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCOCC5)ccc4c3c2)ccc1F,45.946697,-63.47021
NC(=O)c1cc(-c2ccccc2)sc1Nc1ccccc1,32.991493,-64.55395
N#CC1CCCC(O)C1n1cc(C(N)=O)c(Nc2ccccc2)n1,86.12156,5.628002
